polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 - 11*x^4 + 5*x^3 + 20*x^2 + 9*x + 1,(10261)*x^4 + (-6107)*x^3 + (-19499)*x^2 + (-8525)*x^1 + (-930),(10261) * (x^4 - 197/331*x^3 - 629/331*x^2 - 275/331*x - 30/331),10261,-6107,-19499,-8525,-930,31,0,C(5),23088025
x^5 - 10*x^4 - 15*x^3 - 3*x^2 + 3*x + 1,(18535)*x^4 + (25025)*x^3 + (4686)*x^2 + (-4906)*x^1 + (-1606),(18535) * (x^4 + 455/337*x^3 + 426/1685*x^2 - 446/1685*x - 146/1685),18535,25025,4686,-4906,-1606,11,0,C(5),14641
x^5 - 10*x^4 + 18*x^3 - 3*x^2 - 8*x + 1,(2596)*x^4 + (-5973)*x^3 + (1727)*x^2 + (2266)*x^1 + (-231),(2596) * (x^4 - 543/236*x^3 + 157/236*x^2 + 103/118*x - 21/236),2596,-5973,1727,2266,-231,11,0,C(5),7745089
x^5 - 10*x^4 + 25*x^3 - 5*x^2 - 5*x + 1,(375)*x^4 + (-1375)*x^3 + (750)*x^2 + (0)*x^1 + (0),(375) * (x - 3) * (x - 2/3) * x^2,375,-1375,750,0,0,125,2,C(5),19140625
x^5 - 8*x^4 - 25*x^3 + 18*x^2 + 12*x + 1,(13552)*x^4 + (26895)*x^3 + (-21648)*x^2 + (-13739)*x^1 + (-1078),(13552) * (x^4 + 2445/1232*x^3 - 123/77*x^2 - 1249/1232*x - 7/88),13552,26895,-21648,-13739,-1078,11,0,C(5),14320669561
x^5 - 8*x^4 - 3*x^3 + 18*x^2 - 10*x + 1,(4378)*x^4 + (-561)*x^3 + (-7238)*x^2 + (4411)*x^1 + (-418),(4378) * (x^4 - 51/398*x^3 - 329/199*x^2 + 401/398*x - 19/199),4378,-561,-7238,4411,-418,11,0,C(5),7745089
x^5 - 8*x^4 + 19*x^3 - 15*x^2 + x + 1,(165)*x^4 + (-605)*x^3 + (660)*x^2 + (-198)*x^1 + (22),(165) * (x^4 - 11/3*x^3 + 4*x^2 - 6/5*x + 2/15),165,-605,660,-198,22,11,0,C(5),14641
x^5 - 7*x^4 - 9*x^3 + 17*x^2 + 20*x + 1,(3916)*x^4 + (3641)*x^3 + (-8569)*x^2 + (-8844)*x^1 + (-110),(3916) * (x^4 + 331/356*x^3 - 779/356*x^2 - 201/89*x - 5/178),3916,3641,-8569,-8844,-110,11,0,C(5),27071209
x^5 - 7*x^4 + 2*x^3 + 17*x^2 + 9*x + 1,(1078)*x^4 + (-583)*x^3 + (-2596)*x^2 + (-1265)*x^1 + (-121),(1078) * (x^4 - 53/98*x^3 - 118/49*x^2 - 115/98*x - 11/98),1078,-583,-2596,-1265,-121,11,0,C(5),7745089
x^5 - 7*x^4 + 13*x^3 - 5*x^2 - 2*x + 1,(132)*x^4 + (-385)*x^3 + (297)*x^2 + (-66)*x^1 + (0),(132) * (x - 2/3) * x * (x^2 - 9/4*x + 3/4),132,-385,297,-66,0,11,1,C(5),14641
x^5 - 6*x^4 - 23*x^3 - x^2 + 5*x + 1,(7513)*x^4 + (18161)*x^3 + (572)*x^2 + (-3806)*x^1 + (-748),(7513) * (x^4 + 1651/683*x^3 + 52/683*x^2 - 346/683*x - 68/683),7513,18161,572,-3806,-748,11,0,C(5),27071209
x^5 - 6*x^4 - x^3 + 10*x^2 - 6*x + 1,(1210)*x^4 + (-517)*x^3 + (-1188)*x^2 + (869)*x^1 + (-154),(1210) * (x^4 - 47/110*x^3 - 54/55*x^2 + 79/110*x - 7/55),1210,-517,-1188,869,-154,11,0,C(5),14641
x^5 - 6*x^4 + 10*x^3 - x^2 - 6*x + 1,(22)*x^4 + (-121)*x^3 + (231)*x^2 + (-176)*x^1 + (55),(22) * (x^4 - 11/2*x^3 + 21/2*x^2 - 8*x + 5/2),22,-121,231,-176,55,11,0,C(5),14641
x^5 - 5*x^4 - 5*x^3 + 25*x^2 - 10*x + 1,(750)*x^4 + (-1375)*x^3 + (375)*x^2 + (0)*x^1 + (0),(750) * (x - 3/2) * (x - 1/3) * x^2,750,-1375,375,0,0,125,2,C(5),19140625
